d_crit,n_p,l_p,mean_dx,std_dx,sem_dx,snr,dter
2.0,1,2,-0.729074,5.559626335643784,0.39312494827970357,-0.1311372304512217,-0.0032776066204673925
2.0,1,3,14.5570935,5.590153835326973,0.3952835684835689,2.604059553425249,0.06262705504253999
2.0,1,4,16.442515,5.7502506058541165,0.4066041196921499,2.8594432011816124,0.0667198920587577
2.0,1,5,17.5946875,6.228979902191311,0.4404553928714193,2.824649906770499,0.0665354064367724
2.0,1,6,18.3648285,5.368087347228538,0.37958109652270045,3.4211120855701953,0.06411383267026192
2.0,1,7,18.655473,5.724187804543051,0.4047612013377727,3.2590602609498456,0.05970879211503711
2.0,1,8,17.760213000000004,5.385052453585792,0.3807807106975769,3.298057568255228,0.05186357501463684
2.0,1,9,17.9164205,4.792230906271616,0.3388618970836414,3.7386388198767078,0.047594236198506064
2.0,1,10,19.0241615,5.115311574330556,0.361707150209117,3.7190621184184085,0.045903187233327675
2.0,2,2,-0.30815300000000007,5.973752778588134,0.422408109887165,-0.051584491595387125,-0.0012923659822271225
2.0,2,3,24.553346499999996,5.566767266988249,0.3936298883774695,4.41070109857205,0.09146646425307364
2.0,2,4,28.02368,4.6000123230990715,0.3252699907205037,6.092088027520801,0.09027055896664848
2.0,2,5,29.212607,4.704644970328279,0.332668636159431,6.209311687543048,0.08015730750741545
2.0,2,6,29.5580055,4.406352343582926,0.31157616224447227,6.708044022636097,0.06866912648867543
2.0,2,7,30.215335,4.5297130939655785,0.32029908455725575,6.670474348640856,0.05942741971855552
2.0,2,8,30.794059999999998,4.545920076199755,0.32144509126129134,6.773999428899519,0.05145713859828824
2.0,2,9,30.784800999999998,4.3281987731617635,0.30604987028259784,7.112612570127319,0.0439506000705434
2.0,2,10,31.187898500000003,4.439139192093627,0.31389454253603755,7.02566356908734,0.03829362667316348
2.0,3,2,0.46947599999999995,5.013580339129767,0.35451366558222086,0.0936408650592182,0.0017888822685782246
2.0,3,3,32.4800805,4.94757617815664,0.34984646660115826,6.5648469736349515,0.10073186535530732
2.0,3,4,36.090941,4.220026928076104,0.29840096576324476,8.552301114451357,0.08879749718606225
2.0,3,5,37.422008500000004,3.8816654607298227,0.2744751969579662,9.64070934978616,0.07274305623400437
2.0,3,6,38.02580450000001,3.585937049173189,0.253564040437844,10.60414725037285,0.05882332059963448
2.0,3,7,38.129985000000005,4.094818344278314,0.28954738189662665,9.311764721694919,0.047517495201011374
2.0,3,8,39.102117500000006,3.7133068431386396,0.26257044494097437,10.530268343498726,0.039800984124918726
2.0,3,9,38.890096,3.80573905509315,0.269106389328285,10.218802560294854,0.0327787870974723
2.0,3,10,38.623484000000005,3.7704823998637647,0.2666133673288196,10.24364521669576,0.02730653649415647
2.0,4,2,-0.42628250000000006,5.431831360433116,0.3840884789224006,-0.07847859620700921,-0.0014477689643683442
2.0,4,3,39.054423,4.208649672937698,0.29759647233727915,9.279561387854706,0.0990120850712022
2.0,4,4,42.19593350000001,3.7866630052069286,0.267757508905005,11.14330307238263,0.07895340322072208
2.0,4,5,43.27823850000001,3.3180982430937545,0.2346249768334763,13.043085324576738,0.06057636703683806
2.0,4,6,43.7318245,3.2904005827901686,0.23266645649110962,13.290729623843133,0.046799986137122974
2.0,4,7,43.6432665,2.9960659617678767,0.2118538558448261,14.566857691693675,0.03653865494473588
2.0,4,8,44.287265000000005,2.8319716707436315,0.20025063725110184,15.638314979461239,0.029634669988502643
2.0,4,9,44.283426000000006,3.07416502885698,0.2173762938391309,14.405025619742098,0.024140011422696325
2.0,4,10,43.9807735,3.0973580239764353,0.21901628625163025,14.199447774376697,0.019860892239258462
2.0,5,2,-0.11453749999999992,5.189562827904445,0.3669575067004869,-0.022070741563071195,-0.00034247448682878486
2.0,5,3,43.8765445,3.9230048435840184,0.27739833275259307,11.184422719171263,0.09057149808711541
2.0,5,4,46.456089,3.2014162854968147,0.22637431648758458,14.511105353732736,0.06689710274011594
2.0,5,5,47.21420749999999,3.078889659189016,0.21771037565376913,15.334816354684268,0.04895499974382791
2.0,5,6,47.6928485,2.6330238767576013,0.1861829038281392,18.113336882736764,0.03684435950316567
2.0,5,7,47.660023,2.4638065441723573,0.17421743149160668,19.3440605605705,0.0282942672457736
2.0,5,8,47.653148,2.8060595313828114,0.19841837230539316,16.982229873261733,0.022325821440876876
2.0,5,9,47.877053,2.446227915724401,0.17297443475365581,19.571787523249718,0.01810479171994785
2.0,5,10,47.7578145,2.7290257120490593,0.1929712587022336,17.499950362923318,0.014857269095090697
2.0,6,2,0.44640699999999994,5.5293857425304935,0.3909866154339525,0.0807335607943504,0.001167257259472997
2.0,6,3,47.010564,3.5144424608402374,0.24850860961500693,13.376393133140287,0.07935062948396564
2.0,6,4,49.36834000000001,2.652629321197817,0.18756921809932448,18.611096396124932,0.05569275518812172
2.0,6,5,50.210741500000005,2.547772415490327,0.18015471519132403,19.707702773890336,0.0397098343394811
2.0,6,6,50.328750500000005,2.2755703431299183,0.1609071220694164,22.116982958556076,0.02915173547106375
2.0,6,7,50.488792000000004,2.186808572026698,0.15463071704369488,23.087888279680477,0.02221786732372015
2.0,6,8,50.644743500000004,2.1010955863962066,0.1485698937061883,24.10396929483143,0.017449017568946505
2.0,6,9,50.75279350000001,2.018448101886147,0.142725834031681,25.14446294287867,0.014033906236438718
2.0,6,10,50.6414655,1.9090324839519281,0.13498898149078073,26.52729376043201,0.011471773171263626
2.0,7,2,0.7463505,5.772354524375225,0.40816710275985696,0.12929741180108506,0.0017022827449014826
2.0,7,3,49.5723705,2.7844292437494236,0.19688887999893476,17.803422590565606,0.06899992133581678
2.0,7,4,51.6538655,2.0370174830104433,0.14403888756322372,25.35759556842998,0.04651653427584834
2.0,7,5,52.0905155,2.009957682499046,0.1421254707193073,25.91622498003747,0.03226535774794247
2.0,7,6,52.308431,1.7452564058181381,0.12340826394632666,29.971774247967275,0.023452057989642876
2.0,7,7,52.34935649999999,1.6401916201504656,0.1159790617053744,31.916610142903693,0.017694913303629368
2.0,7,8,52.6725305,1.6911891898005502,0.11958513443773522,31.145262054455255,0.01386688141235024
2.0,7,9,52.6179305,1.629501352348712,0.1152231456198424,32.29081732528676,0.01107643076054543
2.0,7,10,52.8063915,1.5155104157938502,0.10716276919666756,34.84396474592298,0.00908193784427341
2.0,8,2,0.6223034999999999,5.168003599131966,0.3654330390142697,0.12041468007191868,0.0012385604192746585
2.0,8,3,51.761588499999995,2.7652491751051747,0.19553264433873757,18.71859829703458,0.06001754349119991
2.0,8,4,53.430021,1.9430483676310706,0.13739426769253818,27.498039621700677,0.03910159467152622
2.0,8,5,53.5736405,1.9739330943358548,0.1395781476613428,27.140555398624223,0.026594792930079138
2.0,8,6,53.8236725,1.4097863399163806,0.09968694809790359,38.178602654918954,0.019178622693858092
2.0,8,7,53.832398999999995,1.4405986497101593,0.10186570741782373,37.36807542533153,0.014384301426178787
2.0,8,8,53.734953,1.5335317461248934,0.1084370696849759,35.04000040154612,0.011142687556045108
2.0,8,9,53.87292,1.4375738471920854,0.10165182158059571,37.474888754568184,0.008909856270200254
2.0,8,10,53.958904000000004,1.2824861098247682,0.09068546250346489,42.07367517405132,0.007277541787614308
2.0,9,2,0.5592370000000001,5.528120610474301,0.3908971570883495,0.10116222843264246,0.000973532578626221
2.0,9,3,53.231722500000004,2.2859600871942134,0.16164178791768197,23.286374420183602,0.0519617274146682
2.0,9,4,54.595227,1.705604373872165,0.12060444187864433,32.00931460796777,0.032999199094468246
2.0,9,5,54.909665999999994,1.2745668109289556,0.09012548350831767,43.08104175408398,0.022280779552357424
2.0,9,6,54.76337,1.2891350178983811,0.09115561130209866,42.480709343601774,0.015853033951348558
2.0,9,7,54.879794499999996,1.28965033359218,0.09119204962425237,42.55401101408498,0.011867335931262282
2.0,9,8,54.8013695,1.3046140434748927,0.0922501436972298,42.00580989764169,0.009172635525868174
2.0,9,9,54.909690499999996,1.2097199720653613,0.08554011955842178,45.39041411894059,0.007316959479118359
2.0,9,10,54.94873100000001,1.170782521007417,0.0827868259899026,46.93333733127359,0.005963327690904337
2.0,10,2,-0.6727580000000001,4.864777373653605,0.34399170698733467,-0.13829163152326066,-0.001027988817272721
2.0,10,3,54.3992805,1.9472433108443046,0.1376908949718152,27.936560468354127,0.04516558453170744
2.0,10,4,55.577296000000004,1.325174783763111,0.09370400758563124,41.93959670902932,0.028148370505648012
2.0,10,5,55.631522999999994,1.0239012454201157,0.07240075139019153,54.332899045526496,0.018766277871516024
2.0,10,6,55.639339,1.1308526093169682,0.07996335485705297,49.20122971074542,0.013328572468344239
2.0,10,7,55.74803800000001,1.003717254454885,0.07097352770189926,55.5415758298153,0.009947118416640905
2.0,10,8,55.6588285,1.0634875988946761,0.07519992928862246,52.336133075598035,0.007672380093884049
2.0,10,9,55.78873900000001,0.9268052209428013,0.06553502565677512,60.194674932072985,0.006114208988347185
2.0,10,10,55.690695000000005,1.0666319034994285,0.07542226519943611,52.2117281672232,0.004965980483808397
